AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,Pz_THETA,Pz_ALPHA,Pz_LOW_BETA,Pz_HIGH_BETA,Pz_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA,Label
22324.57259,13451.38733,4394.992589,1506.545573,406.323287,51.70771,93.428502,58.883058,44.01196,23.701544,21739.13983,13061.99889,4203.130596,1493.980429,404.943356,22674.1019,15119.38111,4849.1165,1727.346032,430.16563,21804.92187,13192.22563,4281.625892,1503.158332,408.396547,1
40112.59396,20834.46767,6313.495846,2448.071575,703.049758,88.422689,157.954312,93.634489,73.620967,39.027449,39331.55919,20396.13871,6076.995238,2427.84065,701.276408,40086.67921,23055.22473,6657.749378,2710.060975,726.701485,39323.16389,20666.87843,6178.30671,2457.739253,707.965434,1
61179.69784,28203.0427,8307.623411,3537.748121,1037.956093,127.23433,224.658083,126.923191,104.528772,54.341252,60143.67343,27770.94724,8037.544564,3504.313082,1033.974274,60718.2284,30889.89276,8472.828091,3848.114634,1059.151722,60040.28807,28187.72559,8145.875834,3558.041281,1045.208838,1
79980.96608,33380.31359,9784.376085,4455.863467,1312.97312,156.440654,273.539829,148.188765,127.375215,64.861739,78704.47881,33005.67405,9497.698751,4407.247329,1305.287687,79263.38646,36300.80936,9738.297848,4807.755911,1329.924578,78487.15156,33530.58929,9596.354999,4480.155669,1320.950278,1
90293.42512,34604.70559,10233.84295,4883.002471,1434.346143,167.318521,287.80969,149.979171,134.296415,66.965956,88864.77299,34317.68385,9950.805383,4822.65646,1422.741365,89752.59814,37435.49649,9999.140325,5252.288375,1446.708126,88544.76517,34877.67944,10029.2884,4903.277441,1440.991202,1
88629.94191,31394.66283,9470.958456,4649.49896,1356.721129,156.636408,262.417841,131.800192,122.686713,59.91761,87241.61929,31202.96265,9212.97577,4585.332632,1342.646215,88861.72261,33885.29954,9139.034556,4998.374311,1366.191633,86814.05188,31706.76803,9267.181869,4659.941232,1360.459333,1
75052.92854,24767.36542,7703.717379,3819.013377,1105.392493,128.853784,206.292887,99.953324,96.425507,46.205541,73891.92491,24665.43803,7492.627604,3760.744259,1091.474374,76430.81086,26849.28978,7402.244867,4108.379524,1115.282528,73402.00837,25029.36921,7520.264995,3818.184523,1105.80971,1
54248.65939,16762.26333,5441.386836,2665.757652,763.621732,94.24896,137.986174,64.526984,64.174677,30.327509,53472.33847,16740.63635,5293.214383,2621.736837,752.542201,56875.4555,18557.07458,5279.317885,2873.650174,777.088568,52946.54342,16914.57516,5292.957155,2656.261702,761.500949,1
32433.3731,9538.211681,3270.871524,1544.576571,434.83223,62.795922,77.089739,34.962609,35.306374,16.717024,32095.84314,9590.468757,3192.831222,1519.327071,428.160139,36157.17138,11281.74868,3301.390828,1677.360228,453.524854,31551.70528,9568.12465,3162.09508,1530.320201,431.491879,1
15341.63076,4511.75019,1645.254146,732.678172,195.632994,41.603373,36.007067,16.202103,15.893541,7.857069,15401.0953,4630.727737,1632.474833,725.731695,193.236261,19832.63786,6414.728061,1869.444491,824.522105,219.421624,14823.41225,4443.782767,1568.332465,715.766188,192.059518,1
